Setting;Value type;Default value;Location;Comment;Min PHP version;Max PHP version;Module;Min module version;Max module version
allow_call_time_pass_reference;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"PHP_INI_ALL in PHP 4.0.0. Removed in PHP 5.4.0.";;5.4.0;;;
allow_url_fopen;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_ALL in PHP <= 4.3.4.";;;;;
allow_url_include;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since PHP 5.2.0.";5.2.0;;;;
always_populate_raw_post_data;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3. Available since PHP 4.1.0.";4.1.0;;;;
apc.cache_by_default;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"PHP_INI_SYSTEM in APC <= 3.0.12. Available since APC 3.0.0.";;;APC;3.0.0;
apc.enabled;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"PHP_INI_SYSTEM in APC 2. PHP_INI_ALL in APC <= 3.0.12.";;;;;
apc.enable_cli;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.7.";;;APC;3.0.7;
apc.file_update_protection;VALUE_TYPE_INTEGER;2;PHP_INI_SYSTEM;"Available since APC 3.0.6.";;;APC;3.0.6;
apc.filters;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
apc.gc_ttl;VALUE_TYPE_INTEGER;3600;PHP_INI_SYSTEM;"";;;;;
apc.include_once_override;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.12.";;;APC;3.0.12;
apc.localcache;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.14.";;;APC;3.0.14;
apc.localcache.size;VALUE_TYPE_INTEGER;512;PHP_INI_SYSTEM;"Available since APC 3.0.14.";;;APC;3.0.14;
apc.max_file_size;VALUE_TYPE_QUANTITY;1M;PHP_INI_SYSTEM;"Available since APC 3.0.7.";;;APC;3.0.7;
apc.mmap_file_mask;VALUE_TYPE_STRING;NULL;PHP_INI_SYSTEM;"";;;;;
apc.num_files_hint;VALUE_TYPE_INTEGER;1000;PHP_INI_SYSTEM;"";;;;;
apc.optimization;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"PHP_INI_SYSTEM in APC 2. Removed in APC 3.0.13.";;;APC;;3.0.13
apc.report_autofilter;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.11.";;;APC;3.0.11;
apc.rfc1867;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.13.";;;APC;3.0.13;
apc.rfc1867_freq;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
apc.rfc1867_name;VALUE_TYPE_STRING;APC_UPLOAD_PROGRESS;PHP_INI_SYSTEM;"";;;;;
apc.rfc1867_prefix;VALUE_TYPE_STRING;upload_;PHP_INI_SYSTEM;"";;;;;
apc.shm_segments;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"";;;;;
apc.shm_size;VALUE_TYPE_INTEGER;30;PHP_INI_SYSTEM;"";;;;;
apc.slam_defense;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.stat;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since APC 3.0.10.";;;APC;3.0.10;
apc.stat_ctime;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.13.";;;APC;3.0.13;
apc.ttl;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.user_entries_hint;VALUE_TYPE_INTEGER;4096;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.user_ttl;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"Available since APC 3.0.0.";;;APC;3.0.0;
apc.write_lock;VALUE_TYPE_INTEGER;1;PHP_INI_SYSTEM;"Available since APC 3.0.11.";;;APC;3.0.11;
apd.bitmask;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Removed in apd 0.9.";;;APD;;0.9
apd.dumpdir;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
apd.statement_tracing;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since apd 0.9.";;;APD;0.9;
arg_separator.input;VALUE_TYPE_STRING;&;PHP_INI_PERDIR;"Available since PHP 4.0.5.";4.0.5;;;;
arg_separator.output;VALUE_TYPE_STRING;&;PHP_INI_ALL;"Available since PHP 4.0.5.";4.0.5;;;;
asp_tags;VALUE_TYPE_INTEGER;0;PHP_INI_PERDIR;"PHP_INI_ALL in PHP 4.0.0.";;;;;
assert.active;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
assert.bail;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
assert.callback;VALUE_TYPE_STRING;NULL;PHP_INI_ALL;"";;;;;
assert.exception;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 7.0.0.";7.0.0;;;;
assert.quiet_eval;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
assert.warning;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
auto_append_file;VALUE_TYPE_STRING;NULL;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3.";;;;;
auto_detect_line_endings;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
auto_globals_jit;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"Available since PHP 5.0.0.";5.0.0;;;;
auto_prepend_file;VALUE_TYPE_STRING;NULL;PHP_INI_PERDIR;"PHP_INI_ALL in PHP <= 4.2.3.";;;;;
axis2.client_home;VALUE_TYPE_STRING;~/work/axisc/c/deply;PHP_INI_ALL;"";;;;;
axis2.enable_exception;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
axis2.enable_trace;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"";;;;;
axis2.log_path;VALUE_TYPE_STRING;/tmp;PHP_INI_ALL;"";;;;;
bcmath.scale;VALUE_TYPE_INTEGER;0;PHP_INI_ALL;"";;;;;
